City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Ishinomaki,JP,38.4167,141.3,62.82,94,100,17.85,overcast clouds
304,Severo-Zadonsk,RU,54.0348,38.4017,52.25,91,100,12.55,moderate rain
305,Napier,NZ,-39.4833,176.9167,41.29,86,95,1.99,overcast clouds
306,Hammerfest,NO,70.6634,23.6821,64.85,39,0,5.75,clear sky
307,Pingdingshan,CN,33.7385,113.3012,72.97,42,100,8.55,overcast clouds
308,Dickinson,US,29.4608,-95.0513,78.75,77,0,4.61,clear sky
309,Olafsvik,IS,64.8945,-23.7142,45.95,78,98,19.75,overcast clouds
310,Dunedin,NZ,-45.8742,170.5036,44.8,60,0,4,clear sky
311,Deputatskiy,RU,69.3,139.9,20.98,96,99,3.87,overcast clouds
312,Mahebourg,MU,-20.4081,57.7,79.09,65,20,5.75,few clouds
313,Buala,SB,-8.145,159.5921,79.41,83,93,1.88,light rain
314,Dashitou,CN,43.3067,128.5114,41.86,89,24,1.95,light rain
315,Fairbanks,US,64.8378,-147.7164,53.56,69,0,4.61,clear sky
316,Fortuna,US,40.5982,-124.1573,50.34,97,100,0,overcast clouds
317,Pell City,US,33.5862,-86.2861,71.74,94,100,5.75,overcast clouds
318,Kasempa,ZM,-13.4584,25.8338,78.35,21,0,4.94,clear sky
319,Doha,QA,25.2867,51.5333,100.71,16,0,19.57,clear sky
320,Berlevag,NO,70.8578,29.0864,51.6,66,6,17.27,clear sky
321,Meulaboh,ID,4.1363,96.1285,80.74,81,100,5.95,overcast clouds
322,Luderitz,NA,-26.6481,15.1594,69.94,54,1,9.8,clear sky
323,Fontaine,FR,45.1984,5.6827,76.41,56,9,1.99,clear sky
324,Sibu,MY,2.3,111.8167,75.51,94,40,3.44,scattered clouds
325,Muravlenko,RU,63.7898,74.523,64.62,33,25,15.55,scattered clouds
326,Da Nang,VN,16.0678,108.2208,85.98,70,40,1.14,scattered clouds
327,Maniwaki,CA,46.3834,-75.966,55.78,94,100,3.44,overcast clouds
328,Alice Springs,AU,-23.7,133.8833,58.55,58,24,0,few clouds
329,Caravelas,BR,-17.7125,-39.2481,79.43,54,8,10.33,clear sky
330,Pampas,PE,-12.4,-74.9,52.14,65,88,2.75,overcast clouds
331,Itarema,BR,-2.9248,-39.9167,83.23,70,50,11.74,scattered clouds
332,Ilulissat,GL,69.2167,-51.1,44.62,45,20,10.36,few clouds
333,Pecos,US,31.4229,-103.4932,64.87,36,0,3.44,clear sky
334,Pisco,PE,-13.7,-76.2167,61.02,88,100,3.44,mist
335,Ruteng,ID,-8.6136,120.4721,64.11,96,100,2.17,overcast clouds
336,Ukiah,US,39.1502,-123.2078,63.64,76,0,3.44,clear sky
337,Cockburn Town,TC,21.4612,-71.1419,80.56,65,40,11.5,scattered clouds
338,Leningradskiy,RU,69.3833,178.4167,32.59,92,100,4.79,overcast clouds
339,Riyadh,SA,24.6877,46.7219,102.34,7,3,11.32,clear sky
340,Westport,US,41.1415,-73.3579,64.9,76,100,3,overcast clouds
341,Sabzevar,IR,36.2126,57.6819,88.88,20,40,0,scattered clouds
342,Novobureyskiy,RU,49.798,129.8774,58.42,70,98,7.76,overcast clouds
343,Lakes Entrance,AU,-37.8811,147.981,55.17,89,48,5.5,scattered clouds
344,Suslovo,RU,56.2167,88.1167,58.95,51,0,6.89,clear sky
345,Ixtapa,MX,20.7,-105.2,79.23,83,20,1.01,few clouds
346,Aklavik,CA,68.2191,-135.0107,44.49,73,100,6.87,overcast clouds
