City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Caravelas,BR,79.43,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
331,Itarema,BR,83.23,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
333,Pecos,US,64.87,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
334,Pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
335,Ruteng,ID,64.11,overcast clouds,-8.6136,120.4721,Hotel FX 72
336,Ukiah,US,63.64,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
337,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
340,Westport,US,64.9,overcast clouds,41.1415,-73.3579,The Westport Inn
342,Novobureyskiy,RU,58.42,overcast clouds,49.798,129.8774,-
343,Lakes Entrance,AU,55.17,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
345,Ixtapa,MX,79.23,few clouds,20.7,-105.2,hotel la terminal
347,Faanui,PF,80.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
348,Morristown,US,69.33,mist,36.214,-83.2949,Days Inn by Wyndham Morristown
349,Rio Grande,BR,60.91,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
350,Perigueux,FR,68.77,overcast clouds,45.1833,0.7167,Hôtel Mercure Périgueux Centre
355,Yulara,AU,62.89,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
356,Santa Cruz De La Palma,ES,71.74,overcast clouds,28.6835,-17.7642,H10 Taburiente Playa
358,Port Augusta,AU,55.89,clear sky,-32.5,137.7667,Majestic Oasis Apartments
360,Atbasar,KZ,72.32,clear sky,51.8,68.3333,Гостиничный Комплекс Saad
363,Salima,MW,83.25,clear sky,-13.7804,34.4587,YAMIKANI LODGE
364,Omboue,GA,79.93,overcast clouds,-1.5746,9.2618,Hotel Olako
366,Muros,ES,82.09,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
367,Gurupa,BR,81.45,broken clouds,-1.405,-51.64,Hotel Vitória
368,Constantine,DZ,60.85,light rain,36.365,6.6147,Grand Hotel Cirta
369,Littleton,US,64.78,few clouds,39.6133,-105.0166,InTown Suites Extended Stay Denver CO - Englewood
372,Rio Negrinho,BR,66.94,overcast clouds,-26.2544,-49.5183,Pousada do Cassio
373,Petauke,ZM,81.27,clear sky,-14.2426,31.3253,Kwamwanja Wanthu
375,Pesqueira,BR,76.06,broken clouds,-8.3578,-36.6964,Pousada do João
376,Lompoc,US,59.56,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
378,Pedernales,DO,83.73,clear sky,18.0384,-71.744,Hotel Costa Marina
379,Muisne,EC,78.21,overcast clouds,0.6,-80.0333,Quinta Samay
380,Caala,AO,76.53,clear sky,-12.8525,15.5606,Adymuzik Oficial
381,Asau,RO,69.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
382,Rognan,NO,59.14,light rain,67.0953,15.3878,Rognan Hotell
383,Samana,DO,79.02,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
